day,daily_revenue,cumulative
2015-05-28,1017,1017
2015-05-29,4336,5353
2015-05-30,6105,11458
2015-05-31,6505,17963
2015-06-01,5528,23491
2015-06-02,5895,29386
2015-06-03,6837,36223
2015-06-04,7367,43590
2015-06-05,8106,51696
2015-06-06,6502,58198
2015-06-07,7195,65393
2015-06-08,6366,71759
2015-06-09,5947,77706
2015-06-10,5511,83217
2015-06-11,5692,88909
2015-06-12,6957,95866
2015-06-13,7129,102995
2015-06-14,6348,109343
2015-06-15,6679,116022
2015-06-16,6728,122750
2015-06-17,5717,128467
2015-06-18,7929,136396
2015-06-19,5881,142277
2015-06-20,9464,151741
2015-06-21,4915,156656
2015-06-22,5701,162357
2015-06-23,5168,167525
2015-06-24,4792,172317
2015-06-25,5899,178216
2015-06-26,7439,185655
2015-06-27,20,185675
