day,daily_installs
2015-05-28,34557
2015-05-29,69973
2015-05-30,61680
2015-05-31,44459
2015-06-01,34059
2015-06-02,33330
2015-06-03,36613
2015-06-04,29513
2015-06-05,22122
2015-06-06,21429
2015-06-07,16509
2015-06-08,15231
2015-06-09,13262
2015-06-10,11940
2015-06-11,9440
2015-06-12,9660
2015-06-13,11169
2015-06-14,10641
2015-06-15,8982
2015-06-16,9208
2015-06-17,8436
2015-06-18,6060
2015-06-19,6442
2015-06-20,7620
2015-06-21,6267
2015-06-22,5225
2015-06-23,4771
2015-06-24,5075
2015-06-25,5392
2015-06-26,5716
2015-06-27,115
