pid,day
00195f5a3d13fa3c,2015-06-13
0036cb39c665d5af,2015-05-30
004845bf7b572795,2015-06-18
0049f255feec0858,2015-06-22
00562aee68a1636f,2015-06-15
00584aa480d4cef4,2015-06-10
005c43a059c47c7e,2015-06-05
007a881e961bbf66,2015-06-06
007eaa197d28b86f,2015-06-18
008c53c9184fbe14,2015-06-12
00a9442a979d4439,2015-06-25
00b69e6b652e04c5,2015-06-04
00c5d69bf15848e5,2015-05-29
00c7364e12a7013d,2015-06-03
00c910d7b76f019d,2015-06-05
00d9a521a9a034dc,2015-06-26
00dd759c40b4f8a1,2015-05-30
00f8cef65a698fa9,2015-06-02
01098a2f0361398f,2015-06-07
011916181a9c3b39,2015-06-04
01288c1b4897a621,2015-05-30
012eb31559b4966e,2015-06-04
0134cc098a2e6e65,2015-06-04
01353bcdaa9097f1,2015-06-02
014e043ab5ca0ff7,2015-06-24
0152f497668cbfe4,2015-06-18
015e62b382b1c1b7,2015-06-15
016a0be36e43e154,2015-06-06
01ae5c9c18b5d2ed,2015-06-08
01c7b7443fe8c6d8,2015-06-04
01c84ba7054ea680,2015-06-24
01ccaba52666b036,2015-06-25
01d2c9e95e46a320,2015-06-06
01d5666722bbe1fb,2015-06-03
01d7b9801ca2fcc3,2015-05-31
01dabe83a8191d19,2015-06-17
0224d87ae0ab3c6f,2015-06-01
024a2455dec0a4da,2015-06-25
0268329847198efc,2015-06-04
0274fc2d20758c79,2015-05-31
027997667284a073,2015-06-05
029da5b03fc5a456,2015-06-17
02a5ff34e53c1026,2015-06-09
02b0e12faab0e6e0,2015-06-25
02bbd6c85e3c743e,2015-06-08
02cc3f95723e2502,2015-06-13
02d40ed77f36bcd2,2015-06-04
02db84e2da3e3282,2015-06-14
02e3f0f277fd65de,2015-06-08
02e59038d9d7d8a9,2015-06-05
02f3d6c0cf50c2f1,2015-06-19
02f6fa149d865559,2015-05-29
02fb24b8a820de84,2015-05-31
030f378314209c9d,2015-06-22
031a7630e29b9fac,2015-06-06
031ca926603bae17,2015-05-29
031d7cb906c170a7,2015-06-11
03363f9a51beb2fe,2015-06-04
0338bf5dc25560ae,2015-06-06
033efbe0a6e2d366,2015-06-05
0346f6f25697ff7c,2015-06-11
034c0004580fe71d,2015-06-08
0366a4a83ec2a0b4,2015-06-17
036a8c038f1521d7,2015-06-16
036b767c028aaa54,2015-06-01
037a0665f0dfda4d,2015-05-30
03896a8e859fbf18,2015-06-16
0395b0aa53f2729c,2015-05-30
03a0518c05348609,2015-06-05
03af0f31eade21c5,2015-06-12
03b30ab1e59c8207,2015-05-28
03b33bebb495ed33,2015-06-14
03c745492d0355c8,2015-06-02
03ca9e2961191325,2015-06-03
03d1ca65f3c9859c,2015-06-08
03d4a543c1692ce6,2015-06-04
03ece31a15ce7b5a,2015-05-31
03f1a9a922fcb66f,2015-06-01
03f9e675a1366ab6,2015-06-20
040ebee84ef6b507,2015-05-29
041b0417fd58654d,2015-05-31
042091d35a5b2385,2015-06-06
04223048d13f5b31,2015-06-10
04266e785cdc82cd,2015-06-15
043a6ca45c313958,2015-05-30
043e86ec9a682b3c,2015-06-21
0443518e0f8bf9de,2015-06-07
044359b1cb8d1a13,2015-06-11
0449ab221b64e613,2015-06-20
044a558efb72cc30,2015-06-15
045b9dc98604de33,2015-06-21
045c20ba794514bf,2015-06-21
0461c863c590d51f,2015-05-31
0480801af4eb1e57,2015-05-31
04869a7708bae930,2015-06-26
0486bbf5723fcd55,2015-06-21
048b9cf863aff074,2015-06-15
049955df43c2ea6f,2015-06-13
04d53407eec9bd82,2015-05-30
04f7f7121ee97deb,2015-05-31
04fba014427ece98,2015-06-02
05005e63bad0a616,2015-06-03
050c4d494a8aa99c,2015-05-31
0528f9c607a7ae69,2015-06-18
052ec2ae2abf1e69,2015-06-03
053d2298169345f1,2015-05-30
054006b736c51a40,2015-06-04
0549fbef924308bd,2015-06-03
057d6e2c90050fa1,2015-06-19
059c9e928c6fcb0f,2015-06-06
05a2e5c7753363ea,2015-06-17
05aacfbc1ec7df79,2015-06-14
05dc0b739dc1000d,2015-06-01
05dd3562fd18a4be,2015-06-06
05e174f98bfe220c,2015-06-09
05e34b183ed10caf,2015-06-18
05f020133d4c9fc2,2015-06-02
05f8890ff1f75468,2015-06-08
061601977a2b81c5,2015-06-10
06169f7f736cdb21,2015-06-03
06234f1f0a3f78ac,2015-05-31
0625ec0a9130b8a4,2015-06-09
0627db15281fa895,2015-06-10
062fafad1dd31de7,2015-06-01
06321e33edcfae5c,2015-06-15
0633235e3ce9509f,2015-06-10
06358528039c6806,2015-05-30
063bba186e068031,2015-05-31
06473c874cc1ff26,2015-06-03
065a019a8533a9c4,2015-06-20
066890fa29150b85,2015-05-28
066b4c8fab564b3d,2015-06-05
067484edfe004e97,2015-06-15
06791ef41b397919,2015-06-05
0684e3b9a5cc1898,2015-05-31
0690a4e8f9204dfb,2015-05-29
06926f4b478cc96e,2015-05-30
06931a9b3a3f20ad,2015-06-01
06a047f07fd5956e,2015-06-10
06a66bd48174e507,2015-06-17
06b686a78ebc955f,2015-06-08
06b80de081d45167,2015-06-14
06cd31c95133e275,2015-06-02
06d9cadb01afde4d,2015-05-30
06e17188ca07f7f6,2015-06-23
06e95d024ab48df4,2015-06-26
070a0d9d30c0de98,2015-06-19
0722f34a7b7e9bcb,2015-06-19
07256b886ff59e26,2015-06-02
072deb20a34a748f,2015-06-03
0730406e473bcc76,2015-06-04
074c76270a1652e5,2015-06-08
0756d9643c484f5c,2015-06-14
076791ae631d761d,2015-06-14
07695da3325efd42,2015-06-03
076a8221d858d979,2015-05-28
07712ae64d438fd5,2015-06-06
07744289e407c7a4,2015-06-02
07793a9ecd3d1b0a,2015-05-30
077f6dab7c6b1164,2015-06-07
07a38f30c57cf334,2015-06-09
07bb6aad1242cc2c,2015-05-31
07c8a620fe12ceec,2015-06-11
07d8ed929df00970,2015-05-31
07dd1deb4b222556,2015-06-10
07de2c199d059a69,2015-06-14
0803f491eb32c2ee,2015-06-05
080cbcea0d54bb0f,2015-06-20
08134bbbd65838cb,2015-06-25
081f0b500c7a2141,2015-06-06
082f8ace2141d7e9,2015-06-03
083c5e08e4a6822e,2015-05-31
08430ab89b7617af,2015-06-10
08629cf6c87842e0,2015-06-18
08688b57775683b7,2015-06-03
088bcdaf1ea073df,2015-06-04
089a7b58249f5cdb,2015-06-09
08ae5a6d5ca2a674,2015-06-14
08bba19beaccd35e,2015-06-25
08c0feb941ad1ad6,2015-06-12
08d6c17de5b10a1c,2015-06-23
08fa3458727c617a,2015-06-04
090ba64f87095378,2015-05-29
091416380ef25026,2015-06-05
094f6275228a3e1b,2015-06-08
097091d837b83a45,2015-06-20
0977e1c8b0a3cfbd,2015-05-31
0978523896be8c95,2015-05-30
097d4e89f0b5d471,2015-06-20
098aac0a297465e8,2015-06-02
098b68b255fe5b2b,2015-06-16
099502a2cce7c5fa,2015-05-31
099f091709068968,2015-06-08
09c53d2c72af47bf,2015-06-05
09daaa45b6dc67fc,2015-05-31
09ec3cc475c9d305,2015-06-21
09f978e82966a9fd,2015-05-30
09fb06120c76a914,2015-06-04
09fd0a146b1afd3f,2015-05-28
0a6bd95677b930ae,2015-06-26
0a72d1ffa323e893,2015-06-25
0a9ca9e130d8a940,2015-06-04
0ac8e4aad361bcb1,2015-06-25
0ad1f3f6f400ae9e,2015-06-05
0aed9ca140ca99e8,2015-06-14
0b225b9cd12a2f58,2015-06-17
0b40b125fa68c2bd,2015-06-20
0b45b935986c6706,2015-06-19
0b47fa907462f256,2015-06-06
0b4c811907ac9f67,2015-06-17
0b74cbdecbd706ef,2015-06-06
0b84cf204eefc303,2015-06-16
0b89f6afda8e49d2,2015-06-16
0b8cf73d706c8aa9,2015-06-05
0b927aeacaa7734c,2015-05-30
0b9710bd1f5208b6,2015-05-31
0ba67f44efb13f37,2015-06-08
0bb691d6916193a9,2015-06-08
0bbbe7ab958fa903,2015-05-29
0bc1df5fc173e2dd,2015-05-30
0bc42d58aaaa4773,2015-06-23
0bd153048de9510a,2015-06-04
0bd3a4efe484a7c2,2015-06-18
0bddf9109b547032,2015-06-04
0be00aaa6cd41485,2015-05-31
0be13efcb4b762a7,2015-06-25
0bf3315589d5c666,2015-06-03
0bf8adeaee7a16b0,2015-06-06
0bfa5b356b47fd35,2015-06-06
0c1a853cd20cbadb,2015-06-20
0c1b49b6c4cd8616,2015-06-08
0c30fbcae15c3df6,2015-06-07
0c56ba16d5748345,2015-06-05
0c5e71258f437a21,2015-06-11
0c635598373caadb,2015-06-15
0c7347ab2b667740,2015-06-07
0c7d1bc49a5ad965,2015-06-15
0c9b04ef2784a88d,2015-06-08
0cacf9e33c8c1c0a,2015-06-18
0cbe32fdbdf86660,2015-05-29
0cc61f23b3bd0e39,2015-06-13
0ce050aadb9cb296,2015-05-29
0ce45eb4f708dd65,2015-06-01
0ce7c0442176a7de,2015-06-02
0cef4487dc6db1f8,2015-06-03
0cfdd6ea4c9522a5,2015-06-13
0d14bd31a0c62ae6,2015-06-09
0d353fd0a1a47653,2015-06-03
0d3c89039ce9ca54,2015-06-06
0d4cbaa7ce6b0e0f,2015-05-30
0d52cd16d0e1bffa,2015-06-03
0d5d0a8f8bf276bb,2015-05-31
0d6598aaff397c3e,2015-06-11
0d6b09971bff84e1,2015-05-31
0d7460cda68eb899,2015-06-25
0d75958cd5546426,2015-06-11
0d777f6a88effd1a,2015-06-02
0d843d9e46e09e6a,2015-06-20
0d8682e503ffdd4a,2015-06-21
0d8e09e99ffa5471,2015-06-11
0dbf5750b009403b,2015-06-03
0dc433c875bfe9e9,2015-06-02
0dcad283658a00d9,2015-06-23
0dcd7092835e4d62,2015-06-16
0ddb9d79764a669a,2015-06-12
0de67de9059a645d,2015-06-10
0dfe4ff0983f0b76,2015-05-28
0e045072654dd403,2015-06-04
0e0ae6de2ca5f70d,2015-06-19
0e121200ce890d63,2015-06-12
0e28ac7105d247dd,2015-06-04
0e7de47b0bd06eb3,2015-06-15
0e95889da3ae8eff,2015-06-02
0e96722c76111e40,2015-06-05
0ea4a030593710ee,2015-06-04
0ea9b89167031ddd,2015-06-23
0eb94947e6b2b1a1,2015-06-10
0eb9aa3cb3d5c8f6,2015-05-30
0ebc7ab5ad1a279c,2015-06-13
0ec9675768e5b901,2015-06-20
0ed6def717651dc5,2015-06-04
0ed7a7613e91d0eb,2015-06-01
0eda86c6fecb349c,2015-06-01
0ee5b703cd06c1cc,2015-06-03
0ef2a5fbb000ac65,2015-06-24
0ef74fa0c92e82d9,2015-06-06
0efcbb6a29dc38b6,2015-06-17
0f0618ddc60edded,2015-06-22
0f08343b6c899f5d,2015-06-08
0f0d57190e237511,2015-06-01
0f1918ac1ecbb254,2015-06-13
0f1f49598bc09ab4,2015-06-22
0f2d9a36e8b48fec,2015-06-01
0f315044fabe37c9,2015-06-07
